age,gender,primary_tech_field,job_title,employment_type,work_arrangement,experience_years_total,experience_years_in_field,education_level,languages_spoken,skills,primary_skill,num_skills,certifications,company_size,annual_salary_usd,num_languages,num_certifications,total_skills + certificates
25,Non-Binary,Blockchain & Web3,Other,Full-time,Hybrid,5.0,2.0,Bachelor's Degree,English; Hindi; Mandarin,Go; Hardhat; Ethereum; Rust,Go,4,Azure Solutions Architect; TensorFlow Developer Certificate,Startup (1-10),213126.81,3,2,6
29,Male,DevOps & Cloud,Other,Contract,Remote,10.1,8.4,Bachelor's Degree,Russian; French,Jenkins; Helm; GCP,Jenkins,3,,Medium (51-200),218488.18,2,0,3
31,Female,Game Development,Other,Freelance,Remote,14.6,13.1,PhD,English; Russian,Physics Engine; Maya; DirectX; OpenGL,Physics Engine,4,,Medium (51-200),241444.64,2,0,4
38,Female,Cybersecurity,Other,Full-time,Remote,6.6,3.8,Bachelor's Degree,English,Linux; Python; SIEM; Wireshark,Linux,4,,Small (11-50),115012.38,1,0,4
27,Male,Mobile Development,Other,Full-time,Remote,7.1,5.4,PhD,English,Android SDK; Flutter; Objective-C; SwiftUI; React Native; Kotlin; Swift,Android SDK,7,CompTIA Security+; AWS Certified Developer,Large (201-1000),300109.52,1,2,9
23,Female,Embedded Systems & IoT,Other,Part-time,Remote,6.7,3.3,Bootcamp,German; Japanese; Spanish,PCB Design; MATLAB; RTOS; FPGA; MQTT; ARM,PCB Design,6,,Medium (51-200),192891.18,3,0,6
37,Male,Database & Data Engineering,Other,Full-time,Remote,2.9,1.8,Bachelor's Degree,English; Japanese,Cassandra; BigQuery; Airflow; PostgreSQL,Cassandra,4,,Large (201-1000),176043.97,2,0,4
26,Female,Embedded Systems & IoT,Other,Contract,Remote,4.8,3.2,Master's Degree,Bengali; English; Japanese,FPGA; MATLAB; I2C/SPI; Embedded Linux,FPGA,4,,Small (11-50),151966.7,3,0,4
54,Male,Embedded Systems & IoT,Other,Full-time,On-site,5.7,4.4,Bachelor's Degree,English,ARM; Embedded Linux; Python,ARM,3,AWS Certified Solutions Architect; PMP,Enterprise (1000+),218537.05,1,2,5
33,Prefer not to say,Frontend Development,Other,Full-time,Hybrid,0.9,0.5,Master's Degree,English; Italian; Russian; Portuguese,React; GraphQL; Tailwind CSS; Next.js; HTML/CSS; Webpack,React,6,Certified Scrum Master; Azure Solutions Architect,Enterprise (1000+),145340.66,4,2,8
27,Female,Backend Development,Other,Full-time,Remote,4.1,3.6,Bachelor's Degree,English,PHP; Django; Rust; Ruby; Node.js; Go,PHP,6,,Large (201-1000),207864.79,1,0,6
20,Male,Frontend Development,Other,Full-time,Hybrid,12.9,8.0,Bootcamp,English; Dutch; Telugu,Tailwind CSS; HTML/CSS; GraphQL; SASS; Vue.js; JavaScript; Webpack; Next.js,Tailwind CSS,8,,Startup (1-10),139866.3,3,0,8
23,Male,Data Science & ML,Other,Full-time,Hybrid,0.5,0.5,Bachelor's Degree,English,Spark; NLTK; PyTorch; TensorFlow; Hugging Face,Spark,5,CISSP,Medium (51-200),42579.11,1,1,6
36,Male,Embedded Systems & IoT,Other,Full-time,Remote,1.2,0.7,Master's Degree,English; German,C; MATLAB; I2C/SPI,C,3,,Startup (1-10),87919.32,2,0,3
37,Female,Product Management,Other,Full-time,Remote,2.1,0.9,Bachelor's Degree,Telugu,Jira; Wireframing; Figma; Stakeholder Management,Jira,4,Kubernetes CKA; CEH; Azure Solutions Architect,Startup (1-10),163060.31,1,3,7
30,Male,Frontend Development,Web Developer,Full-time,Hybrid,6.2,3.7,Master's Degree,English; Italian; Tamil,Tailwind CSS; Webpack; SASS; Angular; GraphQL,Tailwind CSS,5,Google Cloud Professional,Medium (51-200),142877.96,3,1,6
27,Male,Data Science & ML,Other,Full-time,On-site,10.1,6.3,Master's Degree,German; French; English,Spark; Python; PyTorch; NLTK; scikit-learn; Pandas; OpenCV,Spark,7,CEH; Kubernetes CKA; Certified Scrum Master,Medium (51-200),209475.23,3,3,10
34,Female,Product Management,Other,Full-time,Remote,10.3,5.6,Bachelor's Degree,English; Hindi; Telugu,Scrum; Confluence; Stakeholder Management; Data Analysis,Scrum,4,Kubernetes CKA,Startup (1-10),268720.52,3,1,5
25,Non-Binary,DevOps & Cloud,Other,Full-time,Remote,6.8,5.7,PhD,English,GCP; Azure; Kubernetes; Prometheus; Helm; Jenkins; Docker,GCP,7,Linux Foundation Certified,Medium (51-200),297692.89,1,1,8
25,Male,Product Management,Other,Full-time,Remote,8.1,4.0,PhD,English,Scrum; Stakeholder Management; Roadmapping; A/B Testing; Data Analysis; Jira; User Research; Wireframing,Scrum,8,TensorFlow Developer Certificate,Large (201-1000),375813.68,1,1,9
36,Male,DevOps & Cloud,Other,Full-time,Hybrid,0.5,0.5,Bootcamp,English; German,AWS; Azure; Linux; Docker; CI/CD; Jenkins; Prometheus; Ansible,AWS,8,,Large (201-1000),101363.89,2,0,8
25,Male,Full-Stack Development,Other,Full-time,On-site,7.3,6.5,Bootcamp,English; Italian,Python; MongoDB; PostgreSQL; Node.js; React,Python,5,,Startup (1-10),46497.56,2,0,5
35,Male,Database & Data Engineering,Other,Contract,Remote,2.7,1.4,Bachelor's Degree,Arabic; German,dbt; SQL; Spark; Kafka; Cassandra; Airflow; Redis,dbt,7,Azure Solutions Architect,Small (11-50),41552.74,2,1,8
28,Female,Data Science & ML,Other,Freelance,Remote,0.5,0.5,PhD,English; Portuguese; Dutch; Hindi,SQL; Pandas; Spark; Keras; R; PyTorch; OpenCV,SQL,7,CEH; AWS Certified Developer,Medium (51-200),50558.03,4,2,9
35,Female,Mobile Development,Other,Full-time,Hybrid,10.2,6.4,Bootcamp,English,Swift; Kotlin; Xcode; Flutter; Dart; Jetpack Compose; Java; React Native,Swift,8,CompTIA Security+,Large (201-1000),170629.78,1,1,9
26,Female,DevOps & Cloud,Other,Contract,Remote,7.7,5.4,Master's Degree,English; Korean,Helm; Kubernetes; Docker,Helm,3,,Startup (1-10),72240.6,2,0,3
48,Male,Blockchain & Web3,Other,Full-time,Remote,6.4,3.4,Master's Degree,English; Korean,TypeScript; ethers.js; DeFi; Smart Contracts; Solidity; Go; Ethereum,TypeScript,7,CISSP,Large (201-1000),243530.35,2,1,8
39,Female,Game Development,Other,Full-time,Hybrid,5.8,3.3,Bachelor's Degree,English; Arabic,C++; DirectX; Maya; C#; Photon; Unreal Engine; Blender,C++,7,,Medium (51-200),176704.58,2,0,7
37,Female,Embedded Systems & IoT,Other,Full-time,Hybrid,8.0,6.9,Bootcamp,English; Russian; Spanish,ARM; MQTT; Microcontrollers; C++; RTOS; FPGA,ARM,6,,Small (11-50),144516.55,3,0,6
33,Female,Data Science & ML,Other,Full-time,Hybrid,0.5,0.5,Master's Degree,English; Telugu,Python; OpenCV; Spark; R; Hugging Face; TensorFlow; Keras,Python,7,,Enterprise (1000+),145162.7,2,0,7
32,Male,Product Management,Other,Full-time,Hybrid,7.2,3.7,Master's Degree,Mandarin; Tamil; Hindi,Jira; Figma; SQL; A/B Testing; User Research; Data Analysis; Scrum,Jira,7,CISSP,Small (11-50),276610.54,3,1,8
28,Female,Data Science & ML,Other,Freelance,Remote,6.6,3.8,Master's Degree,English; Mandarin,OpenCV; Keras; PyTorch; Hugging Face; NLTK; scikit-learn,OpenCV,6,,Medium (51-200),86380.5,2,0,6
26,Female,Site Reliability Engineering,Other,Contract,Remote,0.5,0.5,Master's Degree,English; Telugu; Japanese,Grafana; Prometheus; Go; Kubernetes; GCP; Terraform; AWS; CI/CD,Grafana,8,,Medium (51-200),42786.54,3,0,8
27,Male,Frontend Development,Other,Full-time,Hybrid,2.7,2.2,High School,English; Spanish; Korean,Next.js; Webpack; JavaScript,Next.js,3,CEH; Linux Foundation Certified,Startup (1-10),94581.01,3,2,5
28,Male,Full-Stack Development,Web Developer,Full-time,On-site,3.9,1.8,Master's Degree,English; Arabic,REST APIs; Python; React; Docker; PostgreSQL; MongoDB; Vue.js; Node.js,REST APIs,8,,Enterprise (1000+),307440.47,2,0,8
26,Male,Full-Stack Development,Full Stack Developer,Full-time,Remote,2.6,2.5,Bachelor's Degree,English,Node.js; REST APIs; AWS; Docker,Node.js,4,,Startup (1-10),153101.93,1,0,4
25,Prefer not to say,Cybersecurity,Other,Full-time,Hybrid,2.2,1.4,Master's Degree,English,Python; Network Security; Cryptography; Nmap; Wireshark,Python,5,AWS Certified Developer,Small (11-50),142027.11,1,1,6
33,Male,Embedded Systems & IoT,Other,Full-time,Remote,7.3,6.0,Master's Degree,English; Mandarin,C++; C; Microcontrollers; MQTT; FPGA; Embedded Linux; MATLAB; RTOS,C++,8,AWS Certified Developer,Startup (1-10),126947.69,2,1,9
39,Prefer not to say,Product Management,Other,Part-time,Remote,3.2,2.8,Master's Degree,Bengali,Roadmapping; Scrum; Figma; Wireframing; Agile,Roadmapping,5,Azure Solutions Architect,Large (201-1000),248003.11,1,1,6
38,Male,QA & Testing,Other,Full-time,Hybrid,2.6,2.3,Bachelor's Degree,English; French; Portuguese; Dutch,Playwright; Cypress; Jira; Postman; Jest; API Testing,Playwright,6,,Small (11-50),76030.74,4,0,6
38,Male,Frontend Development,Other,Full-time,On-site,6.6,6.4,Master's Degree,English; Portuguese,Next.js; Webpack; React; JavaScript; GraphQL,Next.js,5,Kubernetes CKA; Linux Foundation Certified,Small (11-50),174190.97,2,2,7
33,Male,Cybersecurity,Other,Full-time,Remote,4.8,3.0,Bootcamp,English,Linux; Incident Response; Nmap; Firewalls; Cryptography; Network Security; IDS/IPS; SIEM,Linux,8,,Small (11-50),154142.19,1,0,8
20,Female,Product Management,Other,Full-time,On-site,6.3,5.2,Bootcamp,English; Mandarin; Japanese; French,SQL; Confluence; A/B Testing; Stakeholder Management,SQL,4,TensorFlow Developer Certificate; Google Cloud Professional; Linux Foundation Certified,Large (201-1000),193179.71,4,3,7
40,Female,QA & Testing,Other,Full-time,Remote,14.9,8.7,High School,English; Spanish,PyTest; Playwright; Postman; Jest; Load Testing,PyTest,5,Google Cloud Professional,Enterprise (1000+),181400.96,2,1,6
34,Male,Site Reliability Engineering,Other,Full-time,Hybrid,0.5,0.5,Bootcamp,English; Tamil; French,AWS; Python; Docker; GCP; Linux; Grafana,AWS,6,Google Cloud Professional,Startup (1-10),93990.73,3,1,7
32,Male,Frontend Development,Other,Full-time,Hybrid,5.6,4.4,Master's Degree,English; Dutch; Portuguese; Arabic,Redux; Webpack; Tailwind CSS; TypeScript; Vue.js; React; GraphQL; HTML/CSS,Redux,8,CEH; AWS Certified Developer; PMP,Medium (51-200),60280.67,4,3,11
32,Female,Backend Development,Other,Full-time,Remote,7.1,5.8,Bachelor's Degree,Hindi; Bengali; French; Russian,Node.js; C#; FastAPI; Go,Node.js,4,,Enterprise (1000+),65408.81,4,0,4
35,Female,Cybersecurity,Other,Contract,Remote,9.1,8.7,Bachelor's Degree,English; Telugu; Russian,Burp Suite; Network Security; Nmap; Wireshark; Python; Cryptography; Firewalls; Incident Response,Burp Suite,8,AWS Certified Solutions Architect; Certified Scrum Master,Medium (51-200),65021.19,3,2,10
23,Female,Frontend Development,Other,Freelance,Remote,0.5,0.5,Master's Degree,English; Hindi,GraphQL; TypeScript; JavaScript; HTML/CSS; Tailwind CSS,GraphQL,5,,Small (11-50),106061.93,2,0,5
25,Female,Data Science & ML,Other,Full-time,Remote,7.3,5.5,Bootcamp,Telugu,Spark; Pandas; NLTK; R,Spark,4,,Medium (51-200),204075.32,1,0,4
34,Female,Database & Data Engineering,Other,Full-time,Remote,7.6,6.7,Master's Degree,English,Spark; Elasticsearch; Snowflake; MongoDB; BigQuery; Airflow; SQL; Redis,Spark,8,Google Cloud Professional; CompTIA Security+,Small (11-50),201336.36,1,2,10
27,Prefer not to say,Game Development,Other,Full-time,Remote,11.3,7.6,Master's Degree,English; Italian,DirectX; C#; Shader Programming; Unity; Blender,DirectX,5,,Small (11-50),61798.06,2,0,5
29,Female,Site Reliability Engineering,Other,Full-time,Remote,7.4,3.9,Bachelor's Degree,English; Arabic; Mandarin,Prometheus; Terraform; GCP; Kubernetes; Go,Prometheus,5,,Startup (1-10),163648.87,3,0,5
27,Female,Backend Development,Platform Engineer,Full-time,Remote,8.7,7.0,Bootcamp,English; Hindi; Japanese,Go; Django; PHP; C#; Python; FastAPI,Go,6,TensorFlow Developer Certificate; CompTIA Security+,Enterprise (1000+),231035.75,3,2,8
35,Male,Site Reliability Engineering,Other,Full-time,On-site,5.0,4.8,Master's Degree,English; Arabic; German,Incident Management; GCP; AWS; Terraform; Linux; Grafana,Incident Management,6,,Enterprise (1000+),233588.71,3,0,6
21,Female,DevOps & Cloud,Other,Full-time,Hybrid,8.1,5.7,Bachelor's Degree,English,Jenkins; Ansible; Kubernetes; GCP; AWS; Azure; Linux; Docker,Jenkins,8,CEH,Large (201-1000),224490.66,1,1,9
18,Male,Site Reliability Engineering,Other,Full-time,Hybrid,0.5,0.5,Bachelor's Degree,English; Japanese; Mandarin,Prometheus; CI/CD; AWS,Prometheus,3,Linux Foundation Certified,Small (11-50),103400.95,3,1,4
22,Female,Mobile Development,Other,Full-time,Remote,6.9,6.6,Bootcamp,English; Russian,Android SDK; Swift; Firebase,Android SDK,3,CEH; Kubernetes CKA,Enterprise (1000+),63491.18,2,2,5
18,Female,Product Management,Other,Contract,Remote,0.6,0.6,Bootcamp,English; Tamil; Spanish,Confluence; Jira; Wireframing; Figma; Roadmapping; User Research; Agile; Stakeholder Management,Confluence,8,CompTIA Security+,Medium (51-200),100582.99,3,1,9
42,Prefer not to say,Full-Stack Development,Other,Full-time,Remote,7.7,6.5,Bachelor's Degree,English; Portuguese,REST APIs; Redis; MongoDB; Vue.js,REST APIs,4,,Large (201-1000),212788.05,2,0,4
31,Male,Backend Development,Platform Engineer,Full-time,Hybrid,3.9,3.8,Bootcamp,English,PHP; Java; Ruby; Go; Spring Boot; Express.js; Node.js,PHP,7,CEH,Startup (1-10),131193.89,1,1,8
35,Female,Product Management,Other,Contract,Remote,12.7,5.7,Master's Degree,English,Scrum; Stakeholder Management; SQL; Agile; Wireframing; A/B Testing; Confluence; Figma,Scrum,8,,Enterprise (1000+),100450.09,1,0,8
26,Prefer not to say,Mobile Development,Other,Full-time,On-site,0.5,0.5,Bachelor's Degree,English; Tamil; Dutch; German,Kotlin; Swift; Jetpack Compose; Xcode,Kotlin,4,Linux Foundation Certified,Enterprise (1000+),121548.81,4,1,5
27,Male,Cybersecurity,Other,Full-time,Hybrid,3.2,2.8,Bootcamp,English; Russian; Dutch,Wireshark; Burp Suite; Nmap; SIEM; Network Security; Firewalls; Ethical Hacking,Wireshark,7,CompTIA Security+,Small (11-50),109273.83,3,1,8
25,Female,Mobile Development,Other,Full-time,Hybrid,1.2,0.6,Associate's Degree,English,Objective-C; Firebase; Swift; Flutter; React Native; Xcode,Objective-C,6,CompTIA Security+; Google Cloud Professional; CEH,Large (201-1000),99153.73,1,3,9
21,Male,Data Science & ML,Other,Full-time,Remote,9.6,5.2,Bachelor's Degree,English,NLTK; Python; Keras; PyTorch; Spark; TensorFlow,NLTK,6,PMP,Medium (51-200),264952.76,1,1,7
26,Female,DevOps & Cloud,Other,Full-time,On-site,3.8,3.2,Master's Degree,English,Kubernetes; CI/CD; Azure; Terraform; Prometheus; Linux,Kubernetes,6,,Small (11-50),190289.02,1,0,6
35,Female,DevOps & Cloud,Other,Full-time,Hybrid,6.7,4.3,Bootcamp,English,CI/CD; Jenkins; Prometheus,CI/CD,3,,Enterprise (1000+),214639.63,1,0,3
31,Female,Embedded Systems & IoT,Other,Contract,Remote,7.1,5.5,Bootcamp,English,RTOS; PCB Design; MQTT,RTOS,3,AWS Certified Solutions Architect,Startup (1-10),144555.96,1,1,4
34,Male,Full-Stack Development,Other,Freelance,Remote,5.2,4.4,Bachelor's Degree,English; Bengali; German; Dutch,REST APIs; Docker; Redis; TypeScript; React,REST APIs,5,,Enterprise (1000+),239815.51,4,0,5
21,Male,Database & Data Engineering,Other,Freelance,Remote,4.5,2.6,Bachelor's Degree,English; Russian,BigQuery; Redis; Spark; Kafka; Elasticsearch; Snowflake; Airflow; SQL,BigQuery,8,,Enterprise (1000+),182756.94,2,0,8
18,Female,Product Management,Other,Full-time,On-site,6.2,6.0,Bootcamp,English; Arabic,SQL; Confluence; Jira; Agile; User Research; Data Analysis,SQL,6,,Small (11-50),181831.63,2,0,6
21,Male,Embedded Systems & IoT,Other,Contract,Remote,2.5,2.3,Bachelor's Degree,English,MQTT; Python; PCB Design; I2C/SPI; FPGA; Microcontrollers,MQTT,6,,Small (11-50),164951.2,1,0,6
19,Non-Binary,Frontend Development,Other,Full-time,Hybrid,10.4,7.9,Bootcamp,English,HTML/CSS; Next.js; JavaScript; Redux,HTML/CSS,4,,Medium (51-200),131563.09,1,0,4
29,Male,DevOps & Cloud,Platform Engineer,Full-time,Hybrid,1.8,1.5,Master's Degree,Bengali,GCP; Azure; Kubernetes; Prometheus; Jenkins,GCP,5,CISSP; Kubernetes CKA,Medium (51-200),151187.29,1,2,7
40,Female,Mobile Development,Other,Full-time,Hybrid,8.2,4.2,Master's Degree,English; Bengali; Korean; Mandarin,SwiftUI; Dart; Jetpack Compose; Android SDK; Firebase; Flutter; Kotlin; Swift,SwiftUI,8,,Medium (51-200),183303.44,4,0,8
45,Male,Data Science & ML,Other,Full-time,Remote,5.3,4.2,Bootcamp,Dutch,Hugging Face; Python; scikit-learn; Spark,Hugging Face,4,,Medium (51-200),159960.89,1,0,4
53,Male,Database & Data Engineering,Other,Contract,Remote,0.5,0.5,Master's Degree,English,Cassandra; MongoDB; Airflow; PostgreSQL; BigQuery,Cassandra,5,,Medium (51-200),93022.38,1,0,5
35,Female,QA & Testing,Other,Contract,Remote,3.0,1.4,Bootcamp,English,Performance Testing; PyTest; Jira; TestRail; Jest; JUnit; Postman,Performance Testing,7,AWS Certified Developer,Small (11-50),133001.59,1,1,8
35,Female,QA & Testing,Other,Full-time,Remote,5.1,4.3,Master's Degree,English,PyTest; JUnit; Jira; Playwright; Jest; API Testing,PyTest,6,,Medium (51-200),191554.03,1,0,6
38,Male,QA & Testing,Other,Full-time,Hybrid,6.3,5.4,Bootcamp,Arabic; French; Italian,Selenium; Jira; PyTest; API Testing; Cypress; Postman; Jest,Selenium,7,PMP; Kubernetes CKA; CompTIA Security+,Small (11-50),93971.04,3,3,10
25,Female,Frontend Development,Other,Part-time,Remote,1.3,0.6,Master's Degree,English; French,HTML/CSS; Webpack; Redux,HTML/CSS,3,Azure Solutions Architect,Large (201-1000),163177.73,2,1,4
46,Male,Data Science & ML,Other,Full-time,On-site,0.5,0.5,Bootcamp,Spanish,Pandas; PyTorch; R,Pandas,3,,Small (11-50),108235.67,1,0,3
18,Female,Frontend Development,Web Developer,Freelance,Remote,7.6,4.4,Master's Degree,English; Dutch; Korean,Redux; GraphQL; HTML/CSS; Vue.js; React,Redux,5,CISSP; Azure Solutions Architect,Startup (1-10),163687.05,3,2,7
30,Male,Frontend Development,Other,Full-time,Remote,2.4,1.8,Master's Degree,English; Dutch,Redux; Webpack; TypeScript; Next.js; GraphQL; JavaScript; Vue.js,Redux,7,,Enterprise (1000+),215158.24,2,0,7
34,Female,Backend Development,Other,Full-time,Remote,7.6,3.2,Bachelor's Degree,English; Portuguese,Spring Boot; C#; Express.js; Go; Django; Java; Ruby,Spring Boot,7,,Enterprise (1000+),73482.55,2,0,7
37,Male,Cybersecurity,Other,Full-time,Hybrid,1.5,1.3,Bootcamp,English,Cryptography; Network Security; Incident Response; Ethical Hacking; Nmap; Python; IDS/IPS; Firewalls,Cryptography,8,Kubernetes CKA,Small (11-50),35656.93,1,1,9
31,Male,Product Management,Other,Full-time,Hybrid,11.6,8.3,Master's Degree,English; Arabic,Stakeholder Management; Scrum; Confluence; Figma; User Research; Roadmapping; Jira; Agile,Stakeholder Management,8,,Small (11-50),85779.23,2,0,8
41,Female,Product Management,Other,Full-time,Remote,4.9,4.5,Bootcamp,English,Confluence; Wireframing; SQL; Agile; Jira; Scrum; Stakeholder Management,Confluence,7,TensorFlow Developer Certificate,Startup (1-10),153506.14,1,1,8
27,Non-Binary,Mobile Development,Other,Full-time,On-site,3.3,2.3,PhD,English,React Native; SwiftUI; Jetpack Compose; Android SDK; Firebase,React Native,5,,Small (11-50),148449.28,1,0,5
41,Female,Product Management,Other,Full-time,Remote,7.2,6.0,Bachelor's Degree,English; Italian; French,Jira; Wireframing; SQL; Stakeholder Management; A/B Testing; Data Analysis; User Research; Agile,Jira,8,,Medium (51-200),148348.76,3,0,8
30,Male,DevOps & Cloud,Platform Engineer,Full-time,On-site,5.8,3.4,Bachelor's Degree,Arabic,Terraform; Ansible; GCP; Prometheus,Terraform,4,,Enterprise (1000+),75624.24,1,0,4
40,Male,Site Reliability Engineering,Other,Full-time,On-site,4.2,3.7,Master's Degree,English; Dutch; Bengali,CI/CD; Python; Docker; Incident Management,CI/CD,4,Google Cloud Professional,Medium (51-200),332649.64,3,1,5
21,Non-Binary,QA & Testing,Other,Full-time,Hybrid,7.2,3.7,Associate's Degree,English,PyTest; JUnit; Jest; API Testing; Performance Testing; Playwright,PyTest,6,Certified Scrum Master; Linux Foundation Certified,Large (201-1000),145127.07,1,2,8
42,Female,Backend Development,Other,Full-time,Remote,6.6,6.4,Bootcamp,English; Italian,FastAPI; Spring Boot; Rust; Java; Express.js; Node.js; C#; Python,FastAPI,8,,Large (201-1000),219628.52,2,0,8
34,Prefer not to say,Blockchain & Web3,Other,Full-time,On-site,2.1,1.7,Bachelor's Degree,English; Italian,DeFi; ethers.js; IPFS; Smart Contracts,DeFi,4,,Small (11-50),119728.07,2,0,4
35,Female,Data Science & ML,Other,Full-time,Hybrid,0.5,0.5,Bachelor's Degree,English,SQL; Python; Hugging Face; Keras; R; OpenCV; Pandas,SQL,7,PMP,Enterprise (1000+),149095.09,1,1,8
25,Female,Cybersecurity,Other,Contract,Remote,1.7,0.8,Master's Degree,English; Korean; Bengali,Cryptography; Firewalls; Network Security; Linux; Nmap,Cryptography,5,PMP,Medium (51-200),175608.88,3,1,6
22,Male,Game Development,Other,Full-time,Remote,1.0,1.0,Bachelor's Degree,English,C#; Blender; Photon,C#,3,Azure Solutions Architect; CISSP,Medium (51-200),86355.34,1,2,5
24,Male,QA & Testing,Other,Freelance,Remote,8.1,3.4,Master's Degree,English; Italian; French; Hindi,Playwright; JUnit; Postman; PyTest,Playwright,4,AWS Certified Solutions Architect,Small (11-50),143403.21,4,1,5
